run	raw_file	expected_bytes	observed_bytes	sha256	status
20141119_AlCH_1WT_20_2h_n3_1_1200	20141119_AlCH_1WT_20_2h_n3_1_1200.raw	3037044458	3037044458	2936254fa07e02b986d717392d7639e434555b85dde22020bd43866c210d8dfe	downloaded
20141119_AlCH_1WT_20_2h_n4_1_1212	20141119_AlCH_1WT_20_2h_n4_1_1212.raw	2894247969	2894247969	f63893ec5245e67a174dcd106f7d612dad80badda4b04dc1ac33c11a753d2ec8	downloaded
20141119_AlCH_1WT_20_2h_n5_1_1224	20141119_AlCH_1WT_20_2h_n5_1_1224.raw	2837531276	2837531276	7aad1006128b40cc7885e3c70f6fe9461aff13926ab2682df1a1ed093bd98782	downloaded
20141119_AlCH_3D8_20_2h_n3_1_1206	20141119_AlCH_3D8_20_2h_n3_1_1206.raw	2885962469	2885962469	7739cfc29ece60fa47c82100d6bfec16516365f46631ef838f8813546ac293b6	downloaded
20141119_AlCH_3D8_20_2h_n4_1_1218	20141119_AlCH_3D8_20_2h_n4_1_1218.raw	2628497219	2628497219	4195f7437e7eea670881931c8a4715ddef6ad476f3780d3f2e31f22ec2ad79e1	downloaded
20141119_AlCH_3D8_20_2h_n5_1_1230	20141119_AlCH_3D8_20_2h_n5_1_1230.raw	2702759515	2702759515	f7cd0e3a9055605a9fa12622b3762a42f2223371039ab0831bbae44bd1096380	downloaded
