metric	value
peptides_sage	7038
peptides_maxquant	10693
protein_groups_sage	1175
protein_groups_maxquant	1106
sage_groups_unmapped_to_refseq	62
testable_sage	1113
testable_maxquant	981
testable_shared	922
jaccard_testable	0.7867
significant_sage	21
significant_maxquant	3
significant_shared	3
jaccard_significant	0.1429
spearman_t_shared	0.7434
spearman_logFC_shared	0.7014
pearson_logFC_shared	0.5849
top100_overlap	42
