logFC	se	df	t	pval	adjPval	protein	fit_status	model	adjPval_BH
-1.89763001044768	0.110684762164736	5.71530525544285	-17.1444557799508	3.92348005603138e-06	0.00461008906583688	sp|A0Q767|Y1196_FRATN	rlm	naive	0.00461008906583688
-2.91331039343215	0.232321606386573	6.00043011697071	-12.5399890210148	1.57246019961386e-05	0.00820065537318825	tr|A0Q7P1|A0Q7P1_FRATN	rlm	naive	0.00820065537318825
-5.09833825480821	0.392041397158631	5.61610759149382	-13.0045915858862	2.09378435060125e-05	0.00820065537318825	tr|A0Q5U1|A0Q5U1_FRATN	rlm	naive	0.00820065537318825
-1.59102831967459	0.146035645419095	6.00043011697071	-10.8947943162002	3.54428636508093e-05	0.0104113411974252	tr|A0Q5R7|A0Q5R7_FRATN	rlm	naive	0.0104113411974252
-1.35764416148869	0.143542114653771	6.00043011697071	-9.45815912468184	7.94715055879131e-05	0.0172411487287816	tr|A0Q3Z0|A0Q3Z0_FRATN	rlm	naive	0.0172411487287816
-0.890198401520941	0.0933589913828443	5.85201130671295	-9.5352187115051	8.80399084022891e-05	0.0172411487287816	tr|A0Q7E9|A0Q7E9_FRATN	rlm	naive	0.0172411487287816
-2.16802576591287	0.253267194178097	6.00043011697071	-8.56023131202817	0.000139448358972228	0.0234074031131954	tr|A0Q3Y9|A0Q3Y9_FRATN	rlm	naive	0.0234074031131954
-1.38894030842536	0.160120338765094	5.28698759329527	-8.67435279701115	0.000253476521945973	0.031757666040671	sp|A0Q4X5|RNPH_FRATN	rlm	naive	0.031757666040671
-1.24956619228398	0.152332444649816	5.53992662213443	-8.20288937892712	0.000265592597719756	0.031757666040671	tr|A0Q457|A0Q457_FRATN	rlm	naive	0.031757666040671
-1.8219075223023	0.240903861341007	6.00043011697071	-7.56279916876603	0.0002774544306125	0.031757666040671	tr|A0Q7C7|A0Q7C7_FRATN	rlm	naive	0.031757666040671
0.767233861307651	0.102732280764833	6.00043011697071	7.46828412253347	0.000297305809742452	0.031757666040671	tr|A0Q4T1|A0Q4T1_FRATN	rlm	naive	0.031757666040671
-0.984577040527816	0.135993728015943	6.00043011697071	-7.23987094766895	0.000352415069228779	0.0345073088619846	tr|A0Q557|A0Q557_FRATN	rlm	naive	0.0345073088619846
-0.939412075655817	0.130851989178012	5.7947381127359	-7.17919598744378	0.000431318775261238	0.0389845816101503	tr|A0Q4Z6|A0Q4Z6_FRATN	rlm	naive	0.0389845816101503
-1.53339544596272	0.216741709313292	5.79897720365488	-7.07475940289027	0.000464499260244433	0.0389847593419435	sp|A0Q6T5|MIAB_FRATN	rlm	naive	0.0389847593419435
-0.904124598408905	0.134339529540972	6.00043011697071	-6.73014563545243	0.00052358630850367	0.0410142608327875	sp|A0Q4L3|PYRG_FRATN	rlm	naive	0.0410142608327875
-2.66034975027307	0.379743082893059	5.43125670158412	-7.00565690362359	0.000647419108144537	0.0435834982822342	tr|A0Q5H8|A0Q5H8_FRATN	rlm	naive	0.0435834982822342
-1.11498198051859	0.174683258783264	6.00043011697071	-6.38287829231531	0.000695322160152782	0.0435834982822342	sp|A0Q406|LEUD_FRATN	rlm	naive	0.0435834982822342
-0.717699040153836	0.111891246019418	5.92482714019961	-6.41425549974913	0.000712253115882337	0.0435834982822342	tr|A0Q7Q6|A0Q7Q6_FRATN	rlm	naive	0.0435834982822342
-0.880817644423272	0.121629610746628	5.06608548718654	-7.24180270755073	0.000741311029255572	0.0435834982822342	sp|A0Q638|BIOB_FRATN	rlm	naive	0.0435834982822342
