metric	value
keyword	ribosomal protein
fdr_threshold	0.05
proteins_tested	1115
keyword_proteins_tested	52
proteins_significant	202
keyword_proteins_significant	30
keyword_fraction_of_significant	0.1485
keyword_fraction_of_tested	0.0466
fisher_odds_ratio	7.0453
fisher_p	5.719e-11
median_logFC_keyword	-0.3625
median_logFC_other	-0.0478
wilcoxon_p	1.034e-16
keyword_down	51
keyword_up	1
sign_test_p	2.354e-14
